orf_id,essential,probability of being essential
b0109 ,0,0.150138650779
b0110 ,0,0.293834472404
b0111 ,0,0.103378584752
b0112 ,0,0.0118161445894
b0113 ,0,0.102692730894
b0114 ,0,0.251705465695
b0115 ,1,0.629273535609
b0116 ,1,0.591124515291
b0117 ,0,0.0587043669402
b0118 ,0,0.0581072131172
b0119 ,0,0.289717768735
b0120 ,0,0.259279655688
b0121 ,0,0.194395914972
b0122 ,1,0.192500086129
b0123 ,0,0.0219563768592
b0124 ,0,0.025345550679
b0125 ,0,0.558925805489
b0126 ,1,0.289879126717
b0127 ,0,0.101522754782
b0128 ,0,0.19226508686
b0129 ,1,0.107646572201
b0130 ,0,0.0584156820178
b0131 ,0,0.217992444124
b0132 ,0,0.0527968252233
b0133 ,0,0.333710800718
b0134 ,0,0.532324901094
b0135 ,0,0.0579375609756
b0136 ,0,0.110731133683
b0137 ,0,0.194391099553
b0138 ,0,0.108621400098
b0139 ,0,0.0120386830041
b0140 ,0,0.027946439812
b0141 ,0,0.194717639563
b0142 ,1,0.57760311404
b0143 ,0,0.15022586224
b0144 ,0,0.108432494534
b0145 ,0,0.734465389298
b0146 ,0,0.108639011342
b0147 ,0,0.109132231451
b0148 ,0,0.0245904972214
b0149 ,0,0.0578809436045
b0150 ,0,0.0114854822443
b0151 ,0,0.0536958861108
b0152 ,0,0.106794845015
b0153 ,0,0.0243878853599
b0154 ,1,0.138632801026
b0155 ,0,0.107773057543
b0156 ,0,0.876515500821
b0158 ,0,0.108461338113
b0159 ,1,0.746246657473
b0160 ,0,0.0248985258195
b0161 ,0,0.104851838797
b0162 ,0,0.106863032027
b0163 ,0,0.359184119364
b0164 ,0,0.106094374787
b0166 ,1,0.599025990124
b0167 ,1,0.0248331145403
b0168 ,1,0.85733778278
b0169 ,1,0.755566415833
b0170 ,1,0.933523860471
b0171 ,1,0.935447644513
b0172 ,1,0.863219137285
b0173 ,1,0.619930569448
b0174 ,1,0.75512086108
b0175 ,1,0.21574821716
b0176 ,0,0.43928530162
b0177 ,1,0.240661751739
b0178 ,0,0.323785091249
b0180 ,1,0.519468098271
b0181 ,1,0.536792331065
b0182 ,1,0.587843611836
b0183 ,1,0.740061895715
