orf_id,essential,probability of being essential
b0224 ,0,0.332672873076
b0226 ,0,0.869655473956
b0227 ,0,0.108105034066
b0228 ,0,0.68727757714
b0229 ,0,0.0152666237522
b0230 ,0,0.0819985601356
b0231 ,0,0.0499337534606
b0232 ,0,0.905407976131
b0233 ,0,0.8396178233
b0234 ,0,0.834124345901
b0235 ,0,0.837351138287
b0236 ,0,0.692251945917
b0237 ,0,0.0425888792949
b0239 ,0,0.0119480154838
b0240 ,0,0.828898544495
b0241 ,0,0.0289871697314
b0242 ,0,0.0486284516353
b0243 ,0,0.0509029970619
b0245 ,1,0.588214102387
b0246 ,0,0.620858894742
b0247 ,0,0.518907954511
b0248 ,0,0.447452864748
b0250 ,0,0.199310600149
b0251 ,0,0.0153019523565
b0252 ,0,0.0295093744062
b0253 ,0,0.00839833656083
b0254 ,0,0.0290003687143
b0255 ,0,0.83377033061
b0256 ,0,0.0238526227352
b0257 ,0,0.732959900911
b0258 ,0,0.0208312769731
b0259 ,0,0.02861552389
b0260 ,0,0.00524399252074
b0261 ,0,0.0508804050327
b0262 ,0,0.0561668682186
b0263 ,0,0.734202370832
b0264 ,0,0.394745706244
b0265 ,1,0.61115868302
b0266 ,0,0.755708446105
b0267 ,0,0.00731389730104
b0268 ,0,0.0439268551848
b0269 ,0,0.00507143423893
b0270 ,1,0.0124980140245
b0271 ,1,0.0107167180172
b0272 ,0,0.0295531975312
b0273 ,0,0.0154942359361
b0274 ,0,0.388779234774
b0276 ,0,0.380613624387
b0277 ,0,0.0879470831291
b0278 ,0,0.0804028381904
b0279 ,0,0.0477014369573
b0280 ,0,0.525699318559
b0281 ,0,0.0142020446823
b0282 ,0,0.759290362016
b0283 ,0,0.0330337871585
b0284 ,0,0.00806389481057
b0285 ,1,0.0611783445626
b0286 ,0,0.161301891009
b0287 ,0,0.634787591926
b0289 ,1,0.150696243644
b0290 ,0,0.00722062855493
b0291 ,0,0.0130130496275
b0292 ,0,0.142387524247
b0293 ,0,0.154511584838
b0294 ,0,0.324857302838
b0297 ,0,0.215659501594
b0298 ,1,0.819529845089
b0299 ,0,0.0395002237105
b0304 ,0,0.0151015344161
b0305 ,0,0.0260076521528
b0306 ,0,0.216917396144
b0307 ,0,0.0497378303359
b0308 ,0,0.122243900978
b0310 ,0,0.088467572517
b0311 ,0,0.00728511068694
b0312 ,0,0.0201871593448
b0313 ,0,0.143465729741
b0314 ,0,0.0219722775628
b0315 ,0,0.0257202006797
b0316 ,0,0.0161557448268
b0317 ,0,0.351506635547
b0318 ,0,0.192357235209
b0319 ,0,0.0492288258899
b0320 ,1,0.0248334334232
b0321 ,0,0.0273189096428
b0323 ,0,0.0454265160279
b0324 ,0,0.0262675455737
b0325 ,0,0.0243953029589
b0326 ,0,0.121922876306
b0327 ,0,0.835239630553
b0328 ,0,0.0609923866391
b0329 ,0,0.911380746607
b0330 ,0,0.0149024184285
b0331 ,0,0.164570531455
b0333 ,0,0.0235327152616
b0334 ,0,0.0505566266007
b0335 ,0,0.00529335370842
b0336 ,0,0.0207829123549
b0337 ,0,0.0906412340701
b0338 ,0,0.0149814456402
b0339 ,0,0.284400506152
b0340 ,1,0.780172894001
b0341 ,0,0.0109966490127
